Tên Dự án,Folder From,Folder To
Blanca City,https://drive.google.com/drive/folders/1Ju7ofK17u3zhhxB8PPj0Ze44nPsZU2Mt,https://drive.google.com/drive/folders/1xxqKDAEU5K7bdLYf9ZXkiwFkvFzSVHjC
Essensia Sky,https://drive.google.com/drive/folders/1ptGqyPiGiMC7-89e6pnwMZjHDB3kGFuW,https://drive.google.com/drive/folders/1ws_yuO-XBDI8KXbi5IWyD_Nb7DcuNUQX
Trellia Cove (Mizuki) / Chính sách bán hàng,https://drive.google.com/drive/folders/15zTr7FrXguY6YUljYUCbOG3_Hd2URJrT?usp=drive_link,https://drive.google.com/drive/folders/1sfsaKyzayQDDPmCvRtPVdQLutF6yCNKw
Elysian,https://gamudaberhad-my.sharepoint.com/personal/le_lethiquynh_gamudaland_com_my/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fle%5Flethiquynh%5Fgamudaland%5Fcom%5Fmy%2FDocuments%2F0%2E%20Public%20Sharing%2FELYSIAN&ga=1,https://drive.google.com/drive/folders/1Ui3CVAhdZ8xFWsSQZvzPXL7RsNNHeQ3t
Sycamore Bình Dương / Orchard Mansion,https://drive.google.com/drive/folders/18FRKuMYWnBca4lbd7L4615RpEbiTCOtY,https://drive.google.com/drive/folders/1heqG6c542WlLVfEXnVnxmb_CU1jK4Wyk
Bcons,https://drive.google.com/drive/u/2/folders/1laNdTz4jTJ3D-idS4S-r-6o_EU4zDN4J,https://drive.google.com/drive/folders/1f8W0GcL2BZrw5XSjGfWVw4pVGkUhz2aT
The Habitat Binh Duong / THÔNG TIN STK NHẬN CỌC CĂN HỘ,https://drive.google.com/drive/folders/1nbEMrHr2qTlgiwRawguM1URHEf_nB5hI,https://drive.google.com/drive/folders/1af-nirXmeuoMqnzTTwZEu_Wfdljg0TBx
The Habitat Binh Duong / PAYMENT TERM,https://drive.google.com/drive/folders/1fxbU-65bi5-oKlyXQQufhjmke0CZ9q3z,https://drive.google.com/drive/folders/1kOepWI2pu_t8lAgsqn_4pGL5fAXn7mDx
The Habitat Binh Duong / PTTT Và PTG,https://drive.google.com/drive/folders/1fxbU-65bi5-oKlyXQQufhjmke0CZ9q3z,https://drive.google.com/drive/folders/15_AL4lAyV0zGP0FZT0ETgWA4MgVtuhjE
The Habitat Binh Duong / CHƯƠNG TRÌNH ƯU ĐÃI,https://drive.google.com/drive/folders/1QmhhHKkssASJDfpapeOtveAJvjIQ-8DH,https://drive.google.com/drive/folders/1RzaQTmAWmNlZubKmXcjyEGIruMrOFZcW
The Habitat Binh Duong / Phiếu TTKH,https://drive.google.com/drive/folders/1ffDlZpkj1quyjnrqpA_1op7kJYtRkWX6,https://drive.google.com/drive/folders/1VXm27O8LKriH2HuspE_sgyKLlsPLVRbx
"The Habitat Binh Duong / MASTER PLAN, FLOOR PLAN & UNIT PLAN",https://drive.google.com/drive/folders/1owk67uKmP6flZYgr32Go13S4n1zpuDG0?usp=sharing,https://drive.google.com/drive/folders/1oW1JDyi6TqD541VcqA23sDFC1kT8IB5E
The Habitat Binh Duong / HÌNH KEY VISUAL,https://drive.google.com/drive/folders/140AAhweOiLifnV83VitHCy1Wnaf2mJjs,https://drive.google.com/drive/folders/16iNWhiC-oexa-gb3k1KvC4QnYGzbxZlc
The Habitat Binh Duong / QUY ĐỊNH VỀ TRUYỀN THÔNG & THAM QUAN SALES GALLERY,https://drive.google.com/drive/u/2/folders/132CxIV35DU7C3iv13YlO2il8PcvSTxV3,https://drive.google.com/drive/folders/17RJYUt8UZlB8lDmQT3MhZ4Qihj6mTeeG
The Habitat Binh Duong / PHIẾU XÁC NHẬN THANH TOÁN HỘ & PHIẾU YÊU CẦU KHÁCH HÀNG,https://drive.google.com/drive/folders/1TvmQ8jA-zUVfJiT0GVi4k6YsXzOzrUc2,https://drive.google.com/drive/folders/1nk1K6Hi03UafCxNSMiKk1vHYqcuq2v57
The Habitat Binh Duong / NGÂN HÀNG,https://drive.google.com/drive/folders/1Vz7lz2CVcAoGKzvtjUbW3PEsfcjQvvnD,https://drive.google.com/drive/folders/1thIycDshHD8phiYdPuAuUFTy_VJEBiMp
The Habitat Binh Duong / Form Ủy Quyền,https://drive.google.com/drive/folders/1bxNjoEr5T58iwp8h1KMo0ncMwnQnRxc9,https://drive.google.com/drive/folders/1-RWL-YwZov4gimW2Ahw9pkR31PGJJbtd
The Habitat Binh Duong / BẢNG HÀNG & BẢNG GIÁ PHASE 3,https://drive.google.com/drive/folders/1kzB__ffNscpIw_9ZDpFNGC6x6Kxbo6Il,https://drive.google.com/drive/folders/1-E0p2lILwC6cfX43MM6-PHUYfDGXK6i9
The Metropole Thu Thiem / Unit layout The Opera & The Crest (Theo layout chi tiết mã Hợp Đồng),https://drive.google.com/drive/folders/1XaR6vDHyV5tz-7bb-5GOqOmJNFja1ICq?usp=drive_link,https://drive.google.com/drive/folders/1pub5F2BoqTtexBXpri2vh8wq6X3-EYsV
The Metropole Thu Thiem / Mặt bằng tầng (cập nhật 07/01/2026),https://drive.google.com/drive/folders/19-CJtmFirHt-vWuTZYJhQBvQofk7Px75?usp=drive_link,https://drive.google.com/drive/folders/1BzVTDEg5r19jwqjHiwI-ffw6v6qiDQ2Z
Fenica Bình Dương,https://drive.google.com/drive/folders/1GJkS5_URgs7y_CQYyDdbEB_HkyR6OSAh?usp=drive_link,https://drive.google.com/drive/folders/12-26_KdK4hvLAFP3bYifkq6e-17jzQiW
Setia Edenia,https://drive.google.com/drive/folders/1XSBDpiHaph183Qpo_EeQYWLQTC1glYXv,https://drive.google.com/drive/folders/1n5HXelfUGKHCY0bBXRLbqwc2JLL_Bm-N
Sunshine Sky City / Mặt bằng,https://drive.google.com/drive/folders/1PfmQFZo7Nr31YC4UnEwegJGzO__wSr0l,https://drive.google.com/drive/folders/1SCHQ8_MGoWQHt6CuOuNe2WG70BJdo64d
Sunshine Sky City / Mặt bằng tầng điển hình,https://drive.google.com/drive/folders/195PH0WYHbv3WPQ3kWn6pBrw-JnicAYh8,https://drive.google.com/drive/folders/1jvWOD8v122dup7ClhbJnJwm1WBdLcPnJ
Sunshine Sky City / Mặt bằng tầng có view,https://drive.google.com/drive/folders/1VeakX67sLIh8-tQmH7t-oS8kpqIPzq_4,https://drive.google.com/drive/folders/1--tRz6pFmx19o07AOjnUDU_DiNkv6avn
Sunshine Sky City / CSBH,https://drive.google.com/drive/folders/1uaQ3ikBjRSyOwwly78Y7oTsPRPYc6Eq5,https://drive.google.com/drive/folders/1Qp388wsXiu9aSg5CFf70OAR5kx-qplkJ
Sunshine Sky City / Tài liệu MKT,https://drive.google.com/drive/folders/1emPswcmUeXUdNpFYD3q8hF2Qqs3n0nR9,https://drive.google.com/drive/folders/1MPloyuGCbmKD9tq6f_Lp_60O_tfKSq64
Sunshine Sky City / Pháp lý,https://drive.google.com/drive/folders/1rZwrmw69Mi4HrRxsUyE2LtcS36G4ujXq,https://drive.google.com/drive/folders/1Xrm7mjDto9YuxCUBuANtRw3P7kvhpO1a
Elyse Island / File đào tạo chuyên sâu dự án,https://drive.google.com/drive/folders/1qTH-A2MM4A7AMCfluN-rYb_kNYp7PGdY,https://drive.google.com/drive/folders/1HA7KMNCbiJBTEoaxW5IuvJtAz0c3GVJu
Elyse Island / Giới thiệu Nam Long,https://drive.google.com/drive/folders/1lUaIteqsD7hrn2ZJoeGqsl6480jHoX8X,https://drive.google.com/drive/folders/1cldkbINsqNseY72jxokavJcWNEr99rCY
Elyse Island / Thông tin đô thị Elyse Island,https://drive.google.com/drive/folders/13llWNuUeT6cQvfSlOEzzmhBW2kZTxUay,https://drive.google.com/drive/folders/1seCOS55YZJ_fuPesvNsFOeFXac62ld6T
Elyse Island / Brand Guideline & Logo,https://drive.google.com/drive/folders/18ua22P1HQ-_UAfcF0BoF8NQlHaFDUdKp,https://drive.google.com/drive/folders/1Hn4M-mk2806QTTOvInwn32WJGMrRloo7
Elyse Island / Mặt bằng Zone C & map dự án,https://drive.google.com/drive/folders/1AHjSGWEbdR2q4aSkm1QVTA6QhcwajtAU,https://drive.google.com/drive/folders/1MqYlzheechESjn4sksxWZHXazcNkNB7U
Elyse Island / Clip dự án,https://drive.google.com/drive/folders/14llvqFcBoowoqrYKeI1lEPOThkeL9uQo,https://drive.google.com/drive/folders/1KlG285UtRPhxetFUHDjsZGUst3vlF8mh
Elyse Island / Hình phối cảnh 3D,https://drive.google.com/drive/folders/1fEcNY0qGyzWi-yDzrtiq_gXwYSnqIkxC,https://drive.google.com/drive/folders/1pvI7I-KRZ8yKmDR-Lx7SvRekVr2HxhUj
Elyse Island / Mặt bằng căn,https://drive.google.com/drive/folders/1fEcNY0qGyzWi-yDzrtiq_gXwYSnqIkxC,https://drive.google.com/drive/folders/1kIiY0FiHnRwqH1E6LgQmJ7glrv4bSjIa
Elyse Island / Leaflet,https://drive.google.com/drive/folders/10CLHzshdSIT8JoBp1cL86JsWE5EO1RSX,https://drive.google.com/drive/folders/1qAUqQlfftbuMBghcIN0xlnHpwr8ExQTm
Elyse Island / Pháp lý dự án,https://drive.google.com/drive/folders/11oYehTfJm3NLwmv4X290_dJfAGBNRSd9,https://drive.google.com/drive/folders/1hnIXCNvS0aQRQzi5gb7jBpcBFUyXxOoe
Elyse Island / Giới thiệu dự án,https://drive.google.com/drive/folders/19wEEv-dQfAgbiAYmxtvXZhjeKSBRXXyM,https://drive.google.com/drive/folders/1B4NwsmfwDOy1E8bZaBx8NqPK4bPIsmGv
Elyse Island / Thông tin kinh doanh,https://drive.google.com/drive/folders/17jGc5vX95CGR1ujgQnk4LffLmTaewAhf,https://drive.google.com/drive/folders/160zpvsvVUx_6DZ0hWS2rBnhmCTlTEGN-
Salacia,https://drive.google.com/drive/folders/1vMrQlgOSe6PmmnxFwYFmLBKV1aWKJ3wb,https://drive.google.com/drive/folders/1pX33yXBbSQ4MyGoHjwj32ndyCQBbWsBl
The Berkley,https://drive.google.com/drive/folders/1eytnjkAeVWFxbHquCrym5tx19Wt-_bA6?hl=vi,https://drive.google.com/drive/folders/1RaiMb0DGd-27jH5MHCvdVrMfvriaJyfq
Maia Ho Tram / Link thông tin dự án,https://drive.google.com/drive/folders/1N7awNcJfrMDRm9FKHAjMxiT5oP7DaOJ7?usp=drive_link,https://drive.google.com/drive/folders/1_a0jPeltG-x9ZQIYNOhC5Hfgsun6_PXj
Maia Ho Tram / Link tài liệu marketing,https://drive.google.com/drive/folders/1hB6YG8ihKi50mSakL4nG9epoRKF4Y992?usp=drive_link,https://drive.google.com/drive/folders/161qpqbCL4Rn_8pHx42A1oS3B7J8z45Mr
The NEST,https://drive.google.com/drive/folders/1qBnVnBkdBvLECLjkDFCSTk4PytO-ozLw,https://drive.google.com/drive/folders/175Zi3gWF9HyFXK7vnR9ziGFbxMbduODB
Eco Retreat,https://drive.google.com/drive/folders/1-HraZ53Elefyk1xwQ5dF3l0T6TUGPXjM,https://drive.google.com/drive/folders/16dfkpAfGarfTuVjc4Bv9QOYehHddjmpj
Fresia,https://drive.google.com/drive/folders/17dbnae4L4iLzUXUEX2xk0lBKL-tVAYiu,https://drive.google.com/drive/folders/1-9LQUbXMYm4vmsVw9F-j9sjA0AybAGBq